公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
泰尔股份,2017-12-31,1.18亿,1035万,5688万,5040万,4.38亿
泰尔股份,2016-12-31,1.05亿,897万,3961万,5660万,3.94亿
中公教育,2018-12-31,19.7亿,-253万,11.0亿,8.73亿,62.4亿
中公教育,2017-12-31,15.4亿,2813万,8.41亿,6.67亿,40.3亿
中公教育,2016-12-31,2.64亿,4780万,1.43亿,7294万,65.6亿
合肥城建,2018-12-31,3.01亿,1.69亿,6667万,6516万,19.7亿
合肥城建,2017-12-31,3.05亿,1.96亿,5686万,5220万,27.5亿
合肥城建,2016-12-31,1.63亿,4976万,6347万,5010万,26.3亿
广信股份,2018-12-31,3.72亿,-2407万,9729万,2.98亿,28.5亿
广信股份,2017-12-31,2.51亿,29.0万,6843万,1.82亿,23.5亿
广信股份,2016-12-31,2.50亿,-3713万,4807万,2.39亿,15.0亿
皖新传媒,2018-12-31,10.2亿,-1.33亿,6.89亿,4.67亿,98.3亿
皖新传媒,2017-12-31,9.31亿,-1.47亿,6.32亿,4.46亿,87.1亿
皖新传媒,2016-12-31,9.01亿,-8348万,5.86亿,3.98亿,75.9亿
梦舟股份,2018-12-31,2.69亿,7686万,5951万,1.32亿,50.2亿
梦舟股份,2017-12-31,2.75亿,8301万,5916万,1.33亿,53.8亿
梦舟股份,2016-12-31,2.05亿,3045万,5529万,1.19亿,51.4亿
