公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
齐翔腾达,2016-12-31,4.64亿,2208万,1.11亿,3.32亿,58.8亿
金岭矿业,2018-12-31,1.45亿,-227万,2131万,1.26亿,10.4亿
金岭矿业,2017-12-31,2.11亿,489万,8237万,1.23亿,10.4亿
金岭矿业,2016-12-31,1.68亿,667万,1726万,1.44亿,6.26亿
东方电子,2018-12-31,5.66亿,-2203万,3.58亿,2.31亿,30.4亿
东方电子,2017-12-31,4.98亿,-1026万,3.04亿,2.04亿,27.1亿
东方电子,2016-12-31,5.65亿,-791万,2.47亿,3.26亿,23.7亿
新潮能源,2018-12-31,6.83亿,2.64亿,23.7万,4.19亿,47.8亿
新潮能源,2017-12-31,1.56亿,1416万,--,1.42亿,15.2亿
新潮能源,2016-12-31,1.40亿,3672万,1245万,9049万,2.43亿
华仁药业,2018-12-31,6.45亿,3343万,5.28亿,8357万,13.8亿
华仁药业,2017-12-31,5.35亿,4988万,4.10亿,7488万,13.1亿
华仁药业,2016-12-31,4.96亿,5958万,3.01亿,1.35亿,12.5亿
瑞丰高材,2018-12-31,2.13亿,1380万,1.14亿,8517万,14.5亿
瑞丰高材,2017-12-31,1.44亿,1425万,8109万,4820万,11.0亿
瑞丰高材,2016-12-31,1.82亿,4513万,8695万,4954万,8.74亿
华纺股份,2018-12-31,2.24亿,4725万,6867万,1.08亿,32.6亿
华纺股份,2017-12-31,1.93亿,6277万,6095万,6886万,28.5亿
华纺股份,2016-12-31,1.42亿,3130万,5304万,5745万,23.6亿
山东威达,2018-12-31,1.09亿,-3777万,3423万,1.12亿,16.6亿
山东威达,2017-12-31,1.52亿,2380万,3595万,9252万,14.7亿
山东威达,2016-12-31,1.54亿,-2184万,2991万,1.46亿,11.8亿
金能科技,2018-12-31,3.65亿,536万,1.90亿,1.70亿,88.1亿
金能科技,2017-12-31,3.34亿,2360万,1.66亿,1.44亿,66.5亿
金能科技,2016-12-31,3.09亿,2862万,1.42亿,1.39亿,42.4亿
泰山石油,2018-12-31,2.45亿,340万,1.98亿,4410万,30.8亿
泰山石油,2017-12-31,2.12亿,294万,1.71亿,3752万,27.2亿
泰山石油,2016-12-31,2.15亿,420万,1.66亿,4483万,27.7亿
日科化学,2018-12-31,1.16亿,-33.9万,6224万,5379万,15.7亿
日科化学,2017-12-31,1.25亿,1243万,7290万,3941万,21.0亿
日科化学,2016-12-31,1.16亿,-245万,6860万,4973万,15.5亿
新北洋,2018-12-31,4.46亿,1014万,3.03亿,1.33亿,26.4亿
新北洋,2017-12-31,3.33亿,3471万,1.81亿,1.17亿,18.6亿
新北洋,2016-12-31,4.82亿,877万,1.87亿,2.86亿,16.4亿
澳柯玛,2018-12-31,8.58亿,682万,7.05亿,1.46亿,56.5亿
澳柯玛,2017-12-31,7.48亿,1964万,6.00亿,1.29亿,46.6亿
澳柯玛,2016-12-31,8.11亿,1758万,5.41亿,2.52亿,37.5亿
山东赫达,2018-12-31,9138万,306万,3218万,5614万,9.13亿
山东赫达,2017-12-31,6806万,1155万,2488万,3163万,6.51亿
山东赫达,2016-12-31,7485万,766万,2190万,4529万,5.70亿
联诚精密,2018-12-31,9678万,1119万,2709万,5850万,6.65亿
联诚精密,2017-12-31,8740万,1643万,2177万,4920万,6.10亿
联诚精密,2016-12-31,9010万,877万,1936万,6196万,5.12亿
青岛金王,2018-12-31,9.23亿,8514万,6.01亿,2.36亿,54.6亿
青岛金王,2017-12-31,5.86亿,4938万,3.68亿,1.68亿,46.8亿
青岛金王,2016-12-31,2.73亿,3235万,1.35亿,1.06亿,23.7亿
恒通股份,2018-12-31,1.40亿,735万,2150万,1.11亿,60.4亿
恒通股份,2017-12-31,1.46亿,680万,2319万,1.16亿,40.9亿
恒通股份,2016-12-31,1.06亿,425万,1311万,8890万,21.7亿
城市传媒,2018-12-31,5.35亿,-532万,2.96亿,2.45亿,21.7亿
