公司名字,年度,期间费用,财务费用,销售费用,管理费用,营业收入
法 尔 胜,2017-12-31,2.21亿,1.03亿,1560万,1.02亿,20.0亿
法 尔 胜,2016-12-31,1.98亿,4452万,3365万,1.20亿,19.1亿
天沃科技,2018-12-31,6.66亿,3.33亿,5756万,2.76亿,77.0亿
天沃科技,2017-12-31,8.16亿,4.47亿,8975万,2.80亿,104亿
天沃科技,2016-12-31,4.56亿,1.83亿,3977万,2.33亿,12.0亿
澳洋顺昌,2018-12-31,2.33亿,9259万,4557万,9496万,43.0亿
澳洋顺昌,2017-12-31,1.77亿,5193万,4673万,7856万,36.4亿
澳洋顺昌,2016-12-31,1.44亿,918万,3522万,9964万,19.9亿
新联电子,2018-12-31,8892万,-573万,3424万,6041万,7.07亿
新联电子,2017-12-31,8697万,-575万,3428万,5844万,6.21亿
新联电子,2016-12-31,1.41亿,-2000万,3932万,1.21亿,5.84亿
凤凰传媒,2018-12-31,27.7亿,-1.96亿,15.3亿,14.4亿,118亿
凤凰传媒,2017-12-31,28.8亿,-7413万,15.2亿,14.3亿,111亿
凤凰传媒,2016-12-31,28.4亿,-5831万,14.7亿,14.3亿,105亿
哈森股份,2018-12-31,6.96亿,-75.7万,6.12亿,8467万,13.5亿
哈森股份,2017-12-31,6.89亿,-11.7万,6.10亿,7980万,15.0亿
哈森股份,2016-12-31,7.31亿,397万,6.43亿,8382万,16.8亿
吴通控股,2018-12-31,3.04亿,1864万,8520万,2.00亿,30.4亿
吴通控股,2017-12-31,2.05亿,1508万,3931万,1.50亿,25.6亿
吴通控股,2016-12-31,2.86亿,608万,3501万,2.45亿,19.8亿
科斯伍德,2018-12-31,1.85亿,2642万,8634万,7272万,9.59亿
科斯伍德,2017-12-31,7006万,501万,2923万,3581万,4.72亿
科斯伍德,2016-12-31,6922万,-258万,3360万,3820万,4.90亿
天晟新材,2018-12-31,1.85亿,3410万,4398万,1.07亿,9.05亿
天晟新材,2017-12-31,1.67亿,2966万,4677万,9104万,7.72亿
天晟新材,2016-12-31,1.83亿,1991万,4582万,1.17亿,8.22亿
国轩高科,2018-12-31,7.33亿,1.08亿,2.82亿,3.44亿,51.3亿
国轩高科,2017-12-31,6.95亿,4815万,3.38亿,3.09亿,48.4亿
国轩高科,2016-12-31,10.0亿,4199万,3.83亿,5.78亿,47.6亿
永安行,2018-12-31,4057万,27.9万,1134万,2895万,8.45亿
永安行,2017-12-31,6987万,639万,2500万,3848万,10.5亿
永安行,2016-12-31,7098万,538万,2338万,4221万,7.74亿
通达动力,2018-12-31,7191万,-75.6万,2766万,4501万,11.6亿
通达动力,2017-12-31,9313万,22.0万,2436万,6855万,10.8亿
通达动力,2016-12-31,9497万,66.8万,2264万,7167万,8.19亿
东山精密,2018-12-31,16.0亿,6.29亿,3.81亿,5.94亿,198亿
东山精密,2017-12-31,11.3亿,3.61亿,3.16亿,4.52亿,154亿
东山精密,2016-12-31,8.85亿,2.05亿,1.97亿,4.83亿,84.0亿
新日股份,2018-12-31,3.38亿,-613万,2.54亿,8949万,30.5亿
新日股份,2017-12-31,3.11亿,-873万,2.36亿,8361万,27.0亿
新日股份,2016-12-31,2.95亿,-874万,1.85亿,1.19亿,20.5亿
日出东方,2018-12-31,10.5亿,2386万,8.20亿,2.11亿,31.8亿
日出东方,2017-12-31,9.34亿,4268万,6.95亿,1.97亿,27.8亿
日出东方,2016-12-31,7.21亿,426万,5.21亿,1.96亿,23.5亿
五洋停车,2018-12-31,1.41亿,578万,7551万,5979万,10.0亿
五洋停车,2017-12-31,1.03亿,81.5万,5386万,4853万,7.55亿
五洋停车,2016-12-31,1.21亿,125万,4281万,7692万,6.07亿
锦富技术,2018-12-31,2.91亿,5322万,9714万,1.41亿,25.6亿
锦富技术,2017-12-31,2.14亿,2086万,7716万,1.16亿,30.2亿
锦富技术,2016-12-31,2.77亿,963万,6636万,2.01亿,29.7亿
恒宝股份,2018-12-31,1.38亿,26.6万,6564万,7217万,16.9亿
恒宝股份,2017-12-31,1.70亿,820万,7302万,8916万,13.7亿
恒宝股份,2016-12-31,3.43亿,763万,9171万,2.44亿,13.5亿
亿通科技,2018-12-31,1442万,-483万,592万,1332万,1.28亿
亿通科技,2017-12-31,1967万,-252万,714万,1504万,1.69亿
亿通科技,2016-12-31,4154万,-342万,1013万,3483万,2.20亿
宝馨科技,2018-12-31,1.18亿,1879万,4002万,5929万,8.07亿
宝馨科技,2017-12-31,9844万,1592万,2816万,5437万,5.48亿
宝馨科技,2016-12-31,1.27亿,740万,2108万,9805万,5.48亿
长电科技,2018-12-31,25.3亿,11.3亿,2.85亿,11.1亿,239亿
长电科技,2017-12-31,24.5亿,9.83亿,2.41亿,12.2亿,239亿
长电科技,2016-12-31,27.9亿,9.64亿,2.34亿,16.0亿,192亿
路通视信,2018-12-31,4495万,400万,1982万,2112万,3.39亿
路通视信,2017-12-31,4552万,260万,2371万,1922万,3.77亿
路通视信,2016-12-31,6489万,284万,2941万,3264万,3.94亿
润和软件,2018-12-31,2.86亿,6627万,7000万,1.50亿,20.4亿
润和软件,2017-12-31,2.47亿,7025万,4826万,1.28亿,16.1亿
润和软件,2016-12-31,3.71亿,5886万,4738万,2.64亿,13.1亿
全信股份,2018-12-31,1.13亿,389万,4031万,6849万,6.48亿
全信股份,2017-12-31,9756万,528万,3428万,5799万,5.67亿
全信股份,2016-12-31,1.08亿,-41.9万,2951万,7845万,4.18亿
维尔利,2018-12-31,2.73亿,3648万,1.05亿,1.32亿,20.6亿
维尔利,2017-12-31,2.01亿,2341万,6352万,1.14亿,14.2亿
维尔利,2016-12-31,1.69亿,1554万,2527万,1.28亿,7.73亿
东华能源,2018-12-31,11.4亿,5.53亿,2.60亿,3.24亿,489亿
东华能源,2017-12-31,9.01亿,4.95亿,2.56亿,1.50亿,327亿
东华能源,2016-12-31,7.08亿,3.68亿,1.67亿,1.72亿,200亿
中超控股,2018-12-31,6.81亿,2.61亿,2.58亿,1.63亿,76.4亿
中超控股,2017-12-31,6.49亿,2.58亿,2.33亿,1.58亿,74.2亿
中超控股,2016-12-31,7.08亿,2.01亿,2.16亿,2.91亿,62.2亿
南京熊猫,2018-12-31,3.12亿,658万,5647万,2.49亿,45.0亿
南京熊猫,2017-12-31,2.68亿,-514万,5611万,2.17亿,41.9亿
南京熊猫,2016-12-31,4.70亿,-542万,4835万,4.27亿,37.0亿
优德精密,2018-12-31,6389万,621万,3058万,2710万,3.81亿
优德精密,2017-12-31,6083万,-394万,3568万,2909万,4.61亿
优德精密,2016-12-31,7056万,763万,2803万,3490万,3.64亿
华辰装备,2018-12-31,3004万,-237万,1519万,1722万,4.01亿
华辰装备,2017-12-31,4862万,87.8万,1368万,3406万,2.51亿
华辰装备,2016-12-31,2646万,-38.2万,1022万,1662万,2.03亿
苏试试验,2018-12-31,1.43亿,854万,4827万,8656万,6.29亿
苏试试验,2017-12-31,1.12亿,482万,4024万,6738万,4.91亿
苏试试验,2016-12-31,1.08亿,120万,3272万,7371万,3.94亿
