项目申报主管/政府事务,3-5年,大专,全职,不需要融资,西安,6k-8k,鼎蓝通信
林学业务经理,1-3年,本科,全职,未融资,西安,5k-6k,陕西天润生物
管理培训生,不限,本科,全职,上市公司,西安,4k-6k,中国平安人寿保险公司
营运营销,不限,大专,全职,不需要融资,西安,4k-5k,谊品
C/C++开发工程师,1-3年,本科,全职,未融资,西安,6k-8k,宇信融汇
数据开发工程师,1-3年,本科,全职,不需要融资,西安,8k-15k,江苏高伟达
城市助理,1-3年,大专,全职,B轮,西安,4k-6k,斗米
php工程师,3-5年,本科,全职,不需要融资,西安,7k-13k,敦煌智旅
高级java开发工程师,5-10年,本科,全职,B轮,西安,10k-15k,蝉鸣
急聘知识产权顾问【五险一金+双休】,不限,不限,全职,未融资,西安,4K-8K,国信知识产权有限公司
海外市场专员,1-3年,本科,全职,上市公司,西安,7k-10k,Yeahmobi
中高级前端开发,3-5年,本科,全职,不需要融资,西安,8k-16k,通力互联
大区销售经理/销售经理/区域销售经理,1-3年,大专,全职,不需要融资,西安,8k-16k,鼎蓝通信
方案编写技术人员,1-3年,本科,全职,未融资,西安,4k-6k,陕西天润生物
培训干部,不限,大专,全职,不需要融资,西安,3k-4k,谊品
测试开发工程师,1-3年,本科,全职,未融资,西安,4k-8k,宇信融汇
产品经理,1-3年,本科,全职,不需要融资,西安,5k-10k,敦煌智旅
高级web前端,5-10年,本科,全职,B轮,西安,10k-15k,蝉鸣
应届实习生,应届毕业生,大专,全职,未融资,西安,4K-6K,国信知识产权有限公司
设计总监,3-5年,不限,全职,未融资,西安,5k-10k,陕西兵匠仓库孵化器运营管理有限公司
需求分析师,1-3年,本科,全职,不需要融资,西安,6k-8k,易营科技
商务专员（实习生）,不限,不限,全职,不需要融资,西安,2k-4k,怡迪文化
网络推广,1-3年,大专,全职,天使轮,西安,5k-10k,西安利尔
大客户销售（西安）,5-10年,大专,全职,D轮及以上,西安,5k-10k,酷家乐
【西安】前端开发工程师,不限,不限,全职,不需要融资,西安,9k-18k,ThoughtWorks
品牌文案经理,1-3年,本科,全职,上市公司,西安,6k-12k,Yeahmobi
技术运维工程师（中级网络工程师）,1-3年,大专,全职,未融资,西安,6k-8k,宇信融汇
前端开发工程师,3-5年,本科,全职,不需要融资,西安,7k-13k,敦煌智旅
电话销售,不限,大专,全职,未融资,西安,4K-8K,国信知识产权有限公司
艺人运营经理,3-5年,本科,全职,不需要融资,西安,5k-10k,怡迪文化
HRBP,5-10年,不限,全职,不需要融资,西安,12k-20k,ThoughtWorks
高级Java开发工程师,5-10年,本科,全职,不需要融资,西安,9k-14k,继教网
西安区FPGA逻辑开发工程师,1-3年,本科,全职,不需要融资,西安,7k-14k,贺兰云天
软件测试工程师,不限,本科,全职,A轮,西安,6k-9k,KaiOS凯系通讯科技
实施工程师(西安),1-3年,本科,全职,上市公司,西安,6k-9k,成都拓尔思
bd专员,1-3年,大专,全职,未融资,西安,4k-6k,西安美空广告有限公司
JAVA程序员,1-3年,本科,全职,未融资,西安,4k-8k,西安流固
c++,3-5年,本科,全职,B轮,西安,12k-15k,联合优创
自媒体编辑（故事小说方向）,不限,本科,全职,A轮,西安,3k-5k,每天读点故事
俄语电商运营,不限,大专,全职,不需要融资,西安,4k-6k,Star.Store
大中华商务,5-10年,本科,全职,上市公司,西安,15k-30k,Yeahmobi
web前端开发工程师(中、高级),3-5年,本科,全职,未融资,西安,5k-10k,宇信融汇
艺人经纪,1-3年,本科,全职,不需要融资,西安,3k-6k,怡迪文化
【西安】技术经理（Tech Lead）,5-10年,本科,全职,不需要融资,西安,15k-22k,ThoughtWorks
前端开发工程师（西安）,3-5年,本科,全职,不需要融资,西安,6k-8k,继教网
西安区Linux C/C++ 软件开发工程师,3-5年,本科,全职,不需要融资,西安,8k-15k,贺兰云天
有限元仿真工程师,不限,硕士,全职,未融资,西安,6k-12k,西安流固
平面设计 可在线办公,不限,不限,全职,不需要融资,西安,3k-6k,草木萌艺术中心
php开发工程师,不限,本科,全职,D轮及以上,西安,10k-20k,蜜芽
主播艺人,应届毕业生,不限,全职,不需要融资,西安,8k-16k,追逐传媒
bd,1-3年,大专,全职,天使轮,西安,7k-12k,购酷
电商销售经理,1-3年,大专,全职,不需要融资,西安,5k-8k,西安多麦电商
漫画助理,1-3年,大专,全职,未融资,西安,4k-7k,漫星球
淘宝美工,不限,大专,全职,不需要融资,西安,3k-6k,天狐新科技
技术支持专员/助理,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
大中华商务,5-10年,本科,全职,上市公司,西安,15k-30k,Yeahmobi
人事专员助理,3-5年,大专,全职,不需要融资,西安,3k-5k,怡迪文化
Business Analyst 业务分析师,3-5年,本科,全职,不需要融资,西安,15k-30k,ThoughtWorks
高级java开发工程师,3-5年,本科,全职,不需要融资,西安,10k-15k,继教网
数值仿真工程师,不限,硕士,全职,未融资,西安,6k-12k,西安流固
主播艺人,不限,不限,兼职,不需要融资,西安,15k-25k,追逐传媒
电商销售经理,1-3年,大专,全职,不需要融资,西安,5k-8k,西安多麦电商
漫画助理,1-3年,大专,全职,未融资,西安,4k-7k,漫星球
淘宝美工,不限,大专,全职,不需要融资,西安,3k-6k,天狐新科技
技术支持专员/助理,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
行政人力专员,3-5年,大专,全职,未融资,西安,3k-4k,联磐企服
电商客服,不限,不限,全职,不需要融资,西安,3k-6k,四久时
学科教师,应届毕业生,本科,全职,C轮,西安,6k-10k,海风教育
无线端运营专员,1-3年,大专,全职,天使轮,西安,6k-8k,乐来网络
媒介专员,不限,大专,全职,未融资,西安,4k-8k,小鱼网络
财务会计实习生,应届毕业生,不限,实习,上市公司,西安,2k-4k,Yeahmobi
行政前台,1-3年,大专,全职,不需要融资,西安,2k-4k,怡迪文化
高级测试工程师,3-5年,本科,全职,不需要融资,西安,12k-22k,ThoughtWorks
计算流体力学仿真工程师,不限,硕士,全职,未融资,西安,6k-12k,西安流固
视频主播,应届毕业生,不限,全职,不需要融资,西安,15k-25k,追逐传媒
漫画主笔,1-3年,大专,全职,未融资,西安,6k-12k,漫星球
视频编辑,1-3年,本科,全职,不需要融资,西安,3k-6k,天狐新科技
客诉专员/助理,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
淘宝运营专员,1-3年,大专,全职,不需要融资,西安,4k-6k,西安多麦电商
小学在线一对一授课教师,应届毕业生,本科,全职,C轮,西安,6k-10k,海风教育
诚聘淘宝运营,1年以下,不限,全职,天使轮,西安,4k-7k,乐来网络
网络销售（下午茶、音乐、聚餐）,1-3年,大专,全职,未融资,西安,4k-8k,小鱼网络
艺人招募,1-3年,不限,全职,未融资,西安,5k-10k,壹次传媒
PHP开发,3-5年,本科,全职,未融资,西安,5k-10k,西安里恩生命科学技术有限公司
海外流量运营专家（西安）,不限,本科,全职,A轮,西安,10k-20k,爱自拍
商务专员,1-3年,大专,全职,不需要融资,西安,3k-5k,怡迪文化
前端开发工程师,3-5年,不限,全职,不需要融资,西安,11k-22k,ThoughtWorks
主播,应届毕业生,不限,实习,不需要融资,西安,15k-25k,追逐传媒
新媒体运营师,不限,本科,全职,不需要融资,西安,4k-8k,天狐新科技
客服专员/助理（电商）,1-3年,本科,全职,未融资,西安,4k-8k,DJI大疆创新
初中在线一对一授课教师,应届毕业生,本科,全职,C轮,西安,6k-10k,海风教育
天猫售前客服,1-3年,不限,全职,天使轮,西安,5k-8k,乐来网络
在线销售客服,不限,大专,全职,未融资,西安,4k-8k,小鱼网络
网络主播,不限,不限,全职,未融资,西安,10k-20k,壹次传媒
软件产品销售专员,1-3年,本科,全职,未融资,西安,3k-6k,西安里恩生命科学技术有限公司
iOS开发工程师（西安）,1-3年,本科,全职,A轮,西安,7k-14k,爱自拍
动画设计师,1-3年,不限,全职,未融资,西安,5k-10k,西安分公司（西安云天行网络）
网络推广专员,不限,不限,全职,不需要融资,西安,4k-8k,丰迈电商
cad绘图员,1-3年,本科,全职,未融资,西安,4k-6k,易品智能
兼职,不限,不限,兼职,未融资,西安,2k-4k,鹿享汇
西安-Java开发工程师,不限,不限,全职,不需要融资,西安,10k-20k,ThoughtWorks
主播艺人,应届毕业生,不限,兼职,不需要融资,西安,10k-20k,追逐传媒
网店客服,1-3年,本科,全职,不需要融资,西安,3k-6k,天狐新科技
助理技术服务主管（技术支持）,3-5年,本科,全职,未融资,西安,8k-12k,DJI大疆创新
媒介主管,1-3年,大专,全职,未融资,西安,5k-10k,小鱼网络
直播运营专员,1年以下,本科,全职,未融资,西安,5k-10k,壹次传媒
软件产品销售经理,1-3年,本科,全职,未融资,西安,4k-8k,西安里恩生命科学技术有限公司
淘宝/天猫/京东/苏宁/电商网络销售,不限,不限,全职,不需要融资,西安,4k-8k,丰迈电商
团长,不限,不限,兼职,未融资,西安,4k-8k,鹿享汇
5G网络优化工程师实习生,应届毕业生,大专,实习,未融资,西安,3k-6k,鼎盛通信
PHP工程师,3-5年,本科,全职,不需要融资,西安,6k-12k,罐罐
招聘专员,不限,本科,全职,不需要融资,西安,4k-6k,境商地产
中/高级PHP研发工程师,3-5年,大专,全职,D轮及以上,西安,10k-20k,优信集团
.net开发工程师,1-3年,本科,全职,未融资,西安,6k-8k,北京极目云健康科技有限公司
销售顾问,1-3年,大专,全职,未融资,西安,4k-8k,丝路信商
recruiter,1-3年,本科,全职,不需要融资,西安,5k-10k,ThoughtWorks
兼职,不限,不限,兼职,未融资,西安,3k-6k,鹿享汇
店铺美工/平面设计/年终奖金+待遇优,1年以下,大专,全职,不需要融资,西安,4k-8k,丰迈电商
web前端开发,1-3年,本科,全职,不需要融资,西安,6k-12k,罐罐
电商专员,不限,不限,全职,未融资,西安,4k-8k,丝路信商
IC设计工程师,1-3年,本科,全职,不需要融资,西安,8k-12k,民展科技
