消安防主管（数据中心）,北京中航信柏润科技有限公司,0.8-1万/月,北京-大兴区|3-4年经验|大专|招3人|05-15发布|电气信息工程 电气工程及其自动化,五险一金|员工旅游|年终奖金|周末双休|绩效奖金|高温补贴|带薪年假|节日福利
电商运营专员,北京伏牛堂餐饮文化有限公司,5-8千/月,北京-海淀区|无工作经验|大专|招1人|05-15发布,年终奖金|节假日福利|五险|绩效奖金
资质认证工程师（大兴生物医药基地）,北京世纪东方通讯设备有限公司,1-1.5万/月,北京-大兴区|无工作经验|招1人|05-15发布,做五休二|带薪年假|五险一金|全勤奖|绩效奖金|节日福利|交通补贴|餐饮补贴
研发项目管理,ExaLeap Hong Kong Limited,1.5-2万/月,北京-海淀区|2年经验|本科|招1人|05-15发布,带薪年假|五险一金|补充医疗保险|带薪病假
Java开发高级架构师,ExaLeap Hong Kong Limited,2-3.5万/月,北京-海淀区|5-7年经验|本科|招4人|05-15发布,带薪年假|五险一金|补充医疗保险|带薪病假
产品工程师,广州新华时代数据系统有限公司,0.6-1万/月,北京-海淀区|1年经验|本科|招3人|05-15发布,五险一金|补充医疗保险|员工旅游|通讯补贴|绩效奖金|年终奖金|弹性工作|专业培训
反私服（技术）人员,北京光宇在线科技有限责任公司,1.5-2.5万/月,北京|无工作经验|招1人|05-15发布,"五险一金|餐饮补贴|绩效奖金|年终奖金|年终双薪,|周末双休|,年度旅游,|节日福利,|体检"
内容编辑,北京台格喻凯科技有限公司,6-8千/月,北京-昌平区|无工作经验|招若干人|05-15发布,员工旅游|交通补贴|餐饮补贴|通讯补贴|专业培训|年终奖金|五险
产品专员,广州新华时代数据系统有限公司,0.6-1万/月,北京-海淀区|无工作经验|本科|招2人|05-15发布|计算机科学与技术,五险一金|补充医疗保险|员工旅游|通讯补贴|年终奖金|弹性工作|专业培训
售前工程师,广州新华时代数据系统有限公司,1-1.2万/月,北京-海淀区|3-4年经验|大专|招1人|05-15发布,五险一金|补充医疗保险|员工旅游|通讯补贴|定期体检|绩效奖金
安全工程师-ZJY(职位编号：NavInfo002091),北京四维图新科技股份有限公司,1.5-2万/月,北京-海淀区|5-7年经验|招1人|05-14发布,自动驾驶领域|A股上市公司|地图领域龙头|各类福利丰富|本人子女商险|Nice团队|职业晋升通道|免费班车
产品经理,广州新华时代数据系统有限公司,1-1.5万/月,北京-海淀区|2年经验|本科|招2人|05-15发布,五险一金|补充医疗保险|员工旅游|通讯补贴|年终奖金|弹性工作|专业培训
Java高级开发工程师,北京开普云信息科技有限公司,1.5-2万/月,北京|5-7年经验|本科|招4人|05-15发布,做五休二|周末双休|带薪年假|五险一金|全勤奖|节日福利|餐饮补贴
Java开发工程师,北京开普云信息科技有限公司,1-1.5万/月,北京-海淀区|3-4年经验|本科|招2人|05-15发布,做五休二|周末双休|带薪年假|五险一金|全勤奖|节日福利|餐饮补贴
Java开发工程师,卓豪（北京）技术有限公司,1-1.5万/月,北京-海淀区|1年经验|本科|招若干人|05-15发布|英语良好|计算机科学与技术,五险一金|补充医疗保险|员工旅游|交通补贴|餐饮补贴|通讯补贴|年终奖金|绩效奖金
ETL中级开发工程师（驻北京现场）,中兴（沈阳）金融科技有限公司,1-1.6万/月,北京-朝阳区|5-7年经验|本科|招4人|05-14发布,五险一金|餐饮补贴|弹性工作|专业培训|绩效奖金|年终奖金
项目经理_云计算,上海联蔚信息科技有限公司,1.5-2.3万/月,北京-朝阳区|8-9年经验|本科|招1人|05-14发布|英语熟练,五险一金|补充医疗保险|交通补贴|弹性工作|年终奖金
系统和数据服务工程师—财政部,北京大数元科技发展有限公司,1-1.5万/月,北京-海淀区|2年经验|本科|招2人|05-14发布,五险一金|补充医疗保险|交通补贴|通讯补贴|餐饮补贴
项目实施经理—财政部,北京大数元科技发展有限公司,6-8千/月,北京-西城区|2年经验|本科|招3人|05-14发布,交通补贴|餐饮补贴|五险一金|补充医疗保险|通讯补贴|定期体检
PS/PP/SD/HR/FICO/MM,上海汉得信息技术股份有限公司,1-1.5万/月,北京|无工作经验|招5人|05-14发布,五险一金|补充医疗保险|补充公积金|通讯补贴|定期体检|绩效奖金|年终奖金|股票期权|员工旅游
销售经理,北京博赛德科技有限公司,0.6-1万/月,北京|5-7年经验|本科|招1人|05-14发布|英语良好,绩效奖金|五险一金|员工旅游|定期体检|年终奖金
文案/资深文案(BJ）,上海众引文化传播股份有限公司,0.8-1万/月,北京-朝阳区|1年经验|招1人|05-14发布,
网站编辑,北京国正宏音文化交流有限公司,6-8千/月,北京-海淀区|2年经验|本科|招1人|05-14发布,五险一金|餐饮补贴|绩效奖金
网络部门主管,北京金恒博远科技股份有限公司,1.5-2万/月,北京-大兴区|无工作经验|招1人|05-14发布,五险一金|员工旅游|餐饮补贴|绩效奖金
高级网络规划工程师,北京蓝汛通信技术有限责任公司,2-4万/月,北京-朝阳区|3-4年经验|大专|招2人|05-14发布,五险一金|绩效奖金|定期体检|通讯补贴
零售区域经理 Retail Area Manager,泰普尔（中国） TEMPUR CHINA,10-15万/年,北京-朝阳区|3-4年经验|大专|招1人|05-14发布|普通话精通,五险一金|补充医疗保险|员工旅游|交通补贴|通讯补贴|专业培训|年终奖金|弹性工作|定期体检
高级网络规划工程师,北京蓝汛通信技术有限责任公司,4-5万/月,北京-朝阳区|3-4年经验|本科|招1人|05-14发布,五险一金|通讯补贴|专业培训|弹性工作|股票期权
