岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
中级Python开发工程师,3-5年,本科,全职,D轮及以上,上海,15k-25k,"六险一金,弹性工作,年终旅游,技术挑战",UCloud
高级Python工程师,5-10年,本科,全职,B轮,北京,20k-30k,"集团背景,季度奖金,年终奖,福利多多",新东方教育行业研究院
python中级开发工程师,1-3年,大专,全职,A轮,长沙,6k-10k,"互联网行业,朝九晚五,2次加薪,五险",楼盘网
Python开发工程师,3-5年,本科,全职,不需要融资,广州,10k-20k,"扁平化,氛围好",汇电云联
Python研发工程师,5-10年,本科,全职,上市公司,北京,25k-50k,餐补+年终奖+良好的晋升空间,京东金融
Python开发工程师,1-3年,本科,全职,不需要融资,成都,8k-10k,"重个人提升,团队优秀,发展空间大,薪资福利优",海德智和科技
python开发工程师,1-3年,本科,全职,上市公司,北京,10k-15k,"七险一金,年终奖,带薪年假,带薪病假",北京天融信公司
Python工程师（广州）,1-3年,本科,全职,C轮,广州,15k-25k,"15薪,六险一金,零食水果,不打卡",LinkDoc
高级Python工程师,3-5年,本科,全职,B轮,北京,15k-25k,"临近地铁,大平台,准上市",店商互联
高级Python开发,3-5年,大专,全职,B轮,上海,12k-24k,"季度旅游,带薪年假,下午茶,股票期权",问卷网@爱调研
python开发工程师,3-5年,本科,全职,未融资,北京,20k-40k,福利优厚,一览科技
云平台高级开发工程师-Python,3-5年,本科,全职,上市公司,深圳,18k-30k,"五险一金,带薪休假,绩效奖金",腾讯
Python开发工程师,3-5年,本科,全职,B轮,北京,20k-40k,"弹性工作,不考勤,团队好,节操币",罗辑思维
Python/Go 运维开发工程师,3-5年,本科,全职,A轮,上海,15k-25k,"技术前沿,优渥待遇,学习成长",厚本金融
Python工程师,1-3年,本科,全职,天使轮,北京,13k-25k,"期权激励,带薪年假,技术大牛,工作环境好",星尘数据
Python工程师,3-5年,本科,全职,D轮及以上,北京,20k-30k,"前沿行业,弹性工作,团队气氛好,扁平化",TalkingData
Python研发工程师,1-3年,本科,全职,A轮,深圳,10k-15k,"五险一金,年终奖,土豪奖金,国内外旅游",青柏信息
高级Python工程师,3-5年,本科,全职,D轮及以上,上海,15k-25k,团队氛围好,饿了么
Python研发工程师,1-3年,本科,全职,C轮,杭州,15k-23k,期权激励、年度旅游、年终丰厚、零食水果,酷家乐
Python高级开发工程师,3-5年,本科,全职,上市公司,南京,12k-18k,大平台，高挑战。,苏宁云商
Python资深开发,3-5年,本科,全职,B轮,上海,12k-24k,"带薪年假,股票期权,下午茶,季度旅游",问卷网@爱调研
Python开发工程师,3-5年,本科,全职,上市公司,杭州,15k-25k,餐补+年终奖+良好的晋升空间,京东金融
Python开发工程师,1-3年,本科,全职,不需要融资,深圳,15k-30k,东南亚跨境电商平台、福利棒、美女多,Shopee
python工程师,1-3年,本科,全职,不需要融资,深圳,8k-14k,周末双休 免费体检 员工旅游 五险一金,紫川软件
Python开发工程师,3-5年,本科,全职,上市公司,深圳,10k-18k,美股上市 节假日福利 五险一金 免费班车,500.com集团
Python开发工程师,5-10年,本科,全职,C轮,北京,15k-20k,"技术氛围好,海归团队,互联网金融,18年历史",根网科技
后台开发-Python,3-5年,本科,全职,D轮及以上,北京,25k-35k,"超赞团队,技术成长,发挥空间,小米期权",小米
python,3-5年,本科,全职,C轮,北京,20k-40k,"五险一金,项目制,免费零食,团队活跃",有利网
Python工程师J10008,不限,本科,全职,D轮及以上,北京,20k-30k,"大数据,独角兽,技术成长,行业大牛",TalkingData
Python工程师（锁屏画报）,3-5年,本科,全职,D轮及以上,北京,20k-35k,"创业氛围,股票期权",小米
资深／高级Python工程师,3-5年,本科,全职,D轮及以上,上海,16k-32k,中间件部门，底层开发，发展空间大,饿了么
Python开发高级工程师,3-5年,本科,全职,C轮,北京,20k-40k,"六险一金,免费自助餐,技术大咖,氛围好",闪银奇异
Python开发工程师,3-5年,本科,全职,A轮,北京,18k-35k,牛人云集，优质福利,猎户星空
Python工程师,3-5年,本科,全职,不需要融资,厦门,10k-20k,"弹性工作,扁平管理,家属福利,五险一金",10com
Python工程师,3-5年,不限,全职,A轮,广州,15k-20k,"薪资高,发展空间大,股权,丰富的活动",颉一软件
Python开发工程师,1-3年,本科,全职,D轮及以上,上海,10k-16k,"办公环境好,技术大咖多,晋升空间大,同事友好",帝联科技
Python,3-5年,本科,全职,A轮,南京,10k-18k,"六险一金,周末双休,年终奖金,境外旅游",飞常准
python开发工程师,3-5年,不限,全职,A轮,西安,15k-30k,前景广阔,BOO!
Python工程师,5-10年,本科,全职,A轮,北京,25k-35k,"五险一金,免费体检,员工团建,节日礼金",中科视拓
Python研发工程师（天津）,1-3年,本科,全职,C轮,天津,10k-20k,"15薪,下午茶,商业保险,不打卡",LinkDoc
python工程师,1-3年,本科,全职,A轮,深圳,15k-30k,"无人驾驶,车厂合作,扁平化管理,股票期权",Minieye
python开发工程师,1-3年,本科,全职,不需要融资,深圳,10k-20k,"周末双休,节日福利,五险一金,年度体检",江苏亿科达
中级PYTHON开发工程师,5-10年,大专,全职,未融资,深圳,22k-25k,"提升空间大,行业前景广,金融行业",博奥特科技
python开发工程师,3-5年,本科,全职,A轮,深圳,10k-15k,"五险一金,年终奖金",乐易网络
Python工程师,1-3年,本科,全职,不需要融资,广州,7k-10k,"五险一金,绩效奖金,带薪年假,年底双薪",美亚商旅
Python开发,1-3年,本科,全职,B轮,上海,10k-20k,"五险一金,绩效奖金,带薪病假,涨薪快",博纳讯动
高级Python工程师,1-3年,本科,全职,不需要融资,北京,15k-25k,逗比团队、各路大牛、贴心福利~,北京鲜柚科技有限公司
python开发工程师,3-5年,本科,全职,上市公司,杭州,10k-20k,"技术驱动,公积金高,扁平管理,福利好",优云软件
资深Python工程师,3-5年,本科,全职,A轮,上海,18k-28k,"技术氛围,技术驱动,弹性工作,文化年轻",壤歌
Python开发工程师,3-5年,本科,全职,A轮,北京,10k-15k,"发展空间大,工作氛围好,全员持股,管理规范",颉一软件
python工程师,1-3年,本科,全职,A轮,北京,13k-26k,提供中、晚餐 五险一金 弹性工作制,超萌
系统开发工程师（Python）,5-10年,本科,全职,B轮,北京,20k-30k,"五险一金,餐补,生日会,优秀团队",学堂在线
python开发工程师,3-5年,本科,全职,上市公司,广州,10k-20k,"平台大,福利好,待遇优,16薪",网易游戏
python开发工程师,3-5年,大专,全职,不需要融资,深圳,10k-20k,"双休,过节费,年度体检,旅游",江苏亿科达
python开发工程师,不限,本科,全职,上市公司,上海,10k-20k,弹性工时,携程
python工程师,3-5年,本科,全职,C轮,上海,15k-25k,年终奖，加班补贴，工作环境,上海青客
Python开发工程师,3-5年,大专,全职,A轮,西安,15K-25K,扁平管理、健身福利、设备补助、发展空间大,BOO!
Python,3-5年,本科,全职,C轮,北京,20k-40k,"五险一金,扁平化管理,地铁周边,团建",有利网
PHP/Python研发工程师,1-3年,本科,全职,未融资,上海,15k-20k,(゜-゜)つロ 乾杯~,哔哩哔哩
Python开发工程师,3-5年,本科,全职,上市公司,杭州,11k-22k,精英团队、股票期权，购房贷款、丰厚奖金,沃趣科技
python工程师,1-3年,大专,全职,B轮,大连,10k-15k,"弹性工时,五险一金,团队牛逼,14薪",推想科技
Python高级开发工程师,3-5年,本科,全职,B轮,北京,20k-30k,一日三餐、带薪年假、弹性工作、六险一金,微车
QT/Python开发工程师,1-3年,大专,全职,D轮及以上,广州,7k-14k,股份期权 五险一金 晋升空间大,爱拍原创
Python开发工程师,5-10年,大专,全职,不需要融资,北京,15k-30k,提升空间大,复华控股
Python开发工程师,3-5年,本科,全职,B轮,上海,6k-10k,"五险一金,加班补助,弹性工作,绩效奖金",博纳讯动
高级Python开发工程师,3-5年,本科,全职,D轮及以上,北京,15k-30k,核心部门和岗位，股票期权,蚂蜂窝
Python开发工程师,1-3年,本科,全职,不需要融资,广州,10k-20k,"项目多,晋升空间大,领导好,福利多",卓游科技
高级Python工程师,3-5年,本科,全职,A轮,武汉,8k-16k,"带薪年假,福利多,办公环境好,氛围自由",ZingFront智线
高级Python开发工程师,3-5年,本科,全职,A轮,北京,20k-40k,"项目奖金,五险一金,季度奖金,年终奖",乐信圣文
Python开发工程师,3-5年,本科,全职,B轮,北京,15k-30k,"绩效奖金,弹性工作,技术大牛,晋升空间",Yi+
Python高级开发工程师,3-5年,本科,全职,B轮,北京,15k-25k,"五险一金,餐补,交通补,生日福利",店商互联
python工程师,1-3年,本科,全职,上市公司,杭州,10k-20k,弹性工作时间，最核心技术团队，旅游津贴,多麦
python软件工程师,1-3年,不限,全职,不需要融资,杭州,10K-15K,五险一金，提供早午餐，提供宿舍，高配团队,健培
