岗位职称,工作经验,学历要求,工作类型,公司发展,工作地点,工资,工作福利,公司名称
java工程师,3-5年,本科,全职,不需要融资,上海,8k-15k,"五险一金,旅游、体检,生日礼金,生育、结婚",江苏亿科达
Java开发工程师,3-5年,本科,全职,上市公司,北京,10k-20k,"上市公司,五险一金,带薪年假,弹性工作制",互动百科
java 5年,5-10年,本科,全职,不需要融资,北京,25k-35k,"地铁周边,氛围好,开放,各种福利",丽兹行
java研发工程师,3-5年,本科,全职,B轮,北京,15k-20k,"大数据平台,扁平化管理,福利多多,年终奖",集奥聚合（GEO）
JAVA,5-10年,本科,全职,C轮,北京,20k-30k,"氛围融洽,扁平管理,年底双薪",育学园
JAVA,3-5年,本科,全职,C轮,北京,12k-20k,"五险一金,地铁周边,团队友好",有利网
Java开发工程师,3-5年,本科,全职,上市公司,上海,14k-18k,"平台好,福利优厚",金证股份
Java,3-5年,本科,全职,上市公司,北京,15k-30k,"五险一金,餐补,福利旅游,定期体检",美房云客
Java工程师,3-5年,本科,全职,A轮,杭州,15k-30k,"丰厚期权,行业高薪,前沿技术,精英团队",zilliz
Java,3-5年,本科,全职,上市公司,武汉,15k-20k,五险一金（12%公积金）双休，年终奖季度奖,武汉政通
java开发工程师,3-5年,本科,全职,天使轮,上海,15k-25k,"带薪年假,项目奖,节假日福利,车贴饭贴",娃哈哈赋礼
Java,1-3年,本科,全职,上市公司,乌鲁木齐,7k-14k,"五险一金,饭补,年终奖,带薪年假",信雅达
java开发,5-10年,大专,全职,不需要融资,深圳,12k-24k,高薪,江苏亿科达
java开发工程师,3-5年,本科,全职,不需要融资,北京,16k-23k,互联网教育,新东方在线
Java开发工程师,3-5年,本科,全职,上市公司,上海,15k-25k,"大平台,福利全面",联想集团
Java,3-5年,本科,全职,B轮,杭州,30k-50k,"成长团队,改变世界,核心平台,多元发展",蚂蚁金服集团
Java工程师,3-5年,本科,全职,上市公司,北京,18k-30k,"大平台,好团队,好福利",京东商城
java开发,1-3年,本科,全职,不需要融资,深圳,9k-18k,保险项目,博悦科创
Java工程师,3-5年,大专,全职,未融资,长沙,7k-10k,"五险一金,带薪年假,加班补贴,节日福利",新航动力
Java开发工程师,1-3年,本科,全职,不需要融资,上海,8k-16k,"五险二金,团队旅游,技术大牛多,公司氛围好",海鼎
java开发,3-5年,大专,全职,不需要融资,杭州,9k-17k,"周末双休,六险一金",武汉佰钧成技术有限公司
JAVA开发工程师,1-3年,本科,全职,上市公司,北京,10k-15k,"上市公司,五险一金,带薪年假,薪酬福利",泛华金融控股集团
Java工程师,5-10年,本科,全职,C轮,北京,25k-35k,六险一金 年终奖 下午茶,每日优鲜
Java开发,1-3年,本科,全职,B轮,上海,18k-30k,"五险一金,年终多薪,节日福利,弹性工作",新媒体管家
Java工程师,3-5年,本科,全职,D轮及以上,北京,20k-30k,平台大 发展好 年底多薪,美团点评
Java开发工程师,3-5年,本科,全职,D轮及以上,武汉,10k-20k,"扁平化管理,五险一金,D轮融资",宝宝树
Java(NSD)J10026,3-5年,大专,全职,C轮,上海,15k-30k,弹性上班;10天年假;员工俱乐部;奖金补贴,微盟
Java工程师,3-5年,本科,全职,不需要融资,上海,10k-15k,"绩效奖金,五险一金,上市公司,带薪年假",百视通
Java开发工程师,3-5年,本科,全职,上市公司,上海,15k-25k,上市公司，大牛团队，扁平管理,圆通
Java,3-5年,不限,全职,B轮,北京,15k-20k,福利好，成长快，BAT同事、工作氛围好,掌众金服
Java,不限,不限,全职,B轮,北京,18k-36k,豪华团队，待遇给力，六险一金，机会多！,百融金服
JAVA工程师,1-3年,本科,全职,上市公司,北京,10k-15k,"上市公司,五险一金,带薪年假,薪酬福利",泛华金融控股集团
JAVA开发工程师,3-5年,本科,全职,D轮及以上,北京,20k-35k,"核心业务,核心岗位,发展空间大,前景好",美团点评
Java开发工程师,3-5年,本科,全职,不需要融资,上海,10k-20k,公司规模大 上市公司 绩效工资 带薪年假,百视通
java开发,3-5年,大专,全职,不需要融资,佛山,10K-16K,加班费，下午茶，交通补贴，住房补贴,武汉佰钧成技术有限公司
JAVA工程师,3-5年,本科,全职,C轮,北京,15k-25k,"15薪,全明星投资,扁平化管理,六险一金",黄金钱包
Java,1-3年,本科,全职,未融资,贵阳,6k-8k,核心产品研发,Timeline
java开发,5-10年,本科,全职,未融资,北京,20k-40k,"扁平管理,大牛团队,能力定薪",贝壳金控
Java开发工程师,3-5年,本科,全职,上市公司,广州,10k-20k,"五险一金,餐补,带薪年假,员工旅游",YY Inc
JAVA开发工程师,5-10年,本科,全职,上市公司,北京,15k-30k,"免费班车,平台广阔",京东商城
JAVA开发工程师,不限,本科,全职,C轮,北京,20k-40k,"五险一金,带薪休假,工作居住证,商业医疗",PINTEC
Java开发工程师,3-5年,本科,全职,B轮,上海,20k-30k,公司环境好，领导nice，扁平化管理,票易通
JAVA工程师,3-5年,本科,全职,上市公司,北京,18k-26k,清晰明确的发展路线,艺龙旅行网
java开发,3-5年,本科,全职,A轮,上海,15k-25k,"五险一金,年度旅游,团建多多,股份激励",若初医助
Java开发工程师,3-5年,本科,全职,C轮,北京,15k-25k,"技术大牛,领导奈斯,发展好,新技术",磨铁文学
总工程师（java）,5-10年,本科,全职,不需要融资,北京,25k-50k,五险一金、绩效工资、项目奖金、半年调薪,捷通华声
JAVA工程师,1-3年,本科,全职,上市公司,北京,10k-15k,"上市公司,五险一金,带薪年假,薪酬福利",泛华金融控股集团
Java,3-5年,本科,全职,D轮及以上,北京,20k-40k,O2O，技术控,美团点评
Java开发,3-5年,大专,全职,不需要融资,佛山,12k-24k,"六险一金,单双休,带薪年假,领导nic",武汉佰钧成技术有限公司
java研发工程师,3-5年,本科,全职,不需要融资,上海,15k-20k,优秀团队 绩效工资 管理规范,百视通
Java开发,3-5年,本科,全职,不需要融资,杭州,11k-20k,"上升空间大,景区环境,央媒平台,技术交流",新移传媒
java工程师,3-5年,本科,全职,B轮,珠海,10k-20k,"公司前景好,长期激励,福利多,新兴领域",4DAGE
JAVA开发工程师,3-5年,本科,全职,不需要融资,深圳,14k-20k,"周末双休,年度体检,节日福利",江苏亿科达
Java开发工程师,3-5年,本科,全职,上市公司,上海,15k-20k,"上市公司,免费三餐",泛微
Java开发,3-5年,大专,全职,不需要融资,深圳,10k-18k,发展好，福利好，项目好,博悦科创
Java研发工程师,3-5年,本科,全职,天使轮,上海,10k-20k,"美女领导,下午茶,扁平管理,双休",耕子教育
35K|JAVA,5-10年,本科,全职,不需要融资,北京,25k-35k,"薪资待遇好,牛人集群,团队出游多,团队氛围好",丽兹行
Java开发,3-5年,本科,全职,D轮及以上,杭州,15k-30k,D轮以上、全额公积金、扁平管理、导师带新,贝贝网
java开发工程师,3-5年,本科,全职,A轮,杭州,14k-28k,"最前沿技术,牛逼团队,广阔空间,成长回报",观远数据
Java工程师,3-5年,本科,全职,A轮,北京,15k-30k,"平台广阔,福利丰厚",桔子分期
Java,3-5年,本科,全职,不需要融资,青岛,8k-15k,弹性工作不打卡；专业Java开发团队,北京盛安德
Java研发工程师,1-3年,大专,全职,不需要融资,深圳,6k-10k,福利好 空间大 美女多,博悦科创
java,5-10年,本科,全职,不需要融资,北京,25k-50k,"薪水高,五险一金,福利多,平台广",丽兹行
java开发工程师,1-3年,大专,全职,不需要融资,南京,8k-12k,"金融行业,技术前沿,加班少,小长假多",武汉佰钧成技术有限公司
JAVA开发工程师,3-5年,大专,全职,上市公司,上海,15k-30k,人性化管理+亲情1+1+上市公司,ZTO-express
Java开发工程师,3-5年,本科,全职,C轮,北京,15k-22k,地铁周边，环境高大上，团队氛围好,北京智慧图
Java研发工程师,3-5年,本科,全职,D轮及以上,杭州,10k-20k,"大平台,发展好",大搜车
