西安链家地产，房产经纪人,西安链家总部,6-8千/月,西安-高新技术产业开发区,无工作经验,大专,招10人,05-20发布,带薪年假|五险一金|绩效奖金|节日福利|专业培训|加班补贴
贝壳新房直销经纪人  统招大专以上学历,陕西贝壳闹海房地产经纪有限公司,0.8-1万/月,西安-灞桥区,无工作经验,大专,招5人,05-20发布,
西安链家新房直销经纪人/置业顾问、大平台、晋升快,陕西贝壳闹海房地产经纪有限公司,6-8千/月,西安-灞桥区,无工作经验,大专,招5人,05-20发布,
贝壳找房房产经纪人/置业顾问/储备店经理,陕西贝壳闹海房地产经纪有限公司,6-9千/月,西安-灞桥区,无工作经验,大专,招4人,05-20发布,
数据库开发实习生（烟草业务线）,陕西摩天黑石教育科技有限公司,3-4.5千/月,西安-碑林区,无工作经验,本科,招3人,05-20发布,
网络信息管理员,陕西摩天黑石教育科技有限公司,4.5-6千/月,西安-碑林区,无工作经验,大专,招3人,05-20发布,
人工智能开发委培实习生,陕西摩天黑石教育科技有限公司,3-4.5千/月,西安-碑林区,无工作经验,本科,招3人,05-20发布,
嵌入式系统工程师,无锡矽微智能科技有限公司,0.4-1.5万/月,无锡-无锡新区,无工作经验,大专,招若干人,04-17发布,五险一金|餐饮补贴|专业培训|绩效奖金|股票期权|定期体检
Java开发工程师,方元磐石资产管理股份有限公司,1-1.5万/月,西安-曲江文化新区,3-4年经验,本科,招3人,04-19发布,五险一金|餐饮补贴|通讯补贴
市场经理,陕西淘丁实业集团有限公司,4.5-6千/月,西安-长安区,3-4年经验,大专,招1人,05-16发布,五险一金|年终奖金
高级UI设计师（长安）,陕西淘丁实业集团有限公司,0.8-1万/月,西安-长安区,无工作经验,大专,招3人,05-16发布,周末双休|带薪年假|五险一金|餐饮补贴|股票期权|员工旅游
房地产销售/贝壳大平台,贝壳找房,6-8千/月,西安,无工作经验,中专,招8人,04-19发布,带薪年假|专业培训|节日福利|绩效奖金|年终奖金|弹性工作|员工旅游
大客户业务经理,陕西淘丁实业集团有限公司,3-4.5千/月,西安-长安区,1年经验,大专,招若干人,05-16发布,周末双休|带薪年假|五险一金|餐饮补贴
链家创业团队 诚聘合伙人 高分润,西安链家宝业房地产经纪有限公司第十一分公司,6-8千/月,西安-莲湖区,无工作经验,大专,招5人,04-23发布,
链家聘销售顾问 收入上不封顶,西安链家宝业房地产经纪有限公司第十一分公司,6-8千/月,西安-莲湖区,无工作经验,大专,招5人,04-23发布,
链家新房销售顾问总部直聘无责底薪3000+提成免费培训,陕西贝壳闹海房地产经纪有限公司,5-9千/月,西安-灞桥区,无工作经验,大专,招5人,05-19发布,弹性工作|带薪年假|专业培训|节日福利|绩效奖金|五险一金
链家城南区招收房地产经纪人，平台大，晋升快,西安链家总部,4.5-6千/月,西安,无工作经验,大专,招5人,05-16发布,五险一金|弹性工作|带薪年假|高温补贴|专业培训|节日福利|绩效奖金
高端房产销售 一对一培养带教,西安链家宝业房地产经纪有限公司第十一分公司,6-8千/月,西安-莲湖区,无工作经验,本科,招10人,04-23发布,五险一金|补充医疗保险|补充公积金|员工旅游|专业培训|出国机会|绩效奖金|年终奖金|弹性工作
链家新房 销售顾问 总部直聘 无责底薪 免费培训,陕西贝壳闹海房地产经纪有限公司,5-9千/月,西安-灞桥区,无工作经验,大专,招5人,05-19发布,弹性工作|带薪年假|专业培训|节日福利|绩效奖金|五险一金
区域销售代表/销售助理/房产经纪人,西安链家宝业房地产经纪有限公司第五十六分公司,6-8千/月,西安-灞桥区,无工作经验,大专,招20人,05-19发布,弹性工作|带薪年假|五险一金|节日福利|专业培训|高温补贴|交通补贴
贝壳新房 销售顾问 总部直聘 无责底薪 免费培训,陕西贝壳闹海房地产经纪有限公司,5-9千/月,西安-灞桥区,无工作经验,大专,招5人,05-19发布,弹性工作|带薪年假|专业培训|节日福利|绩效奖金|五险一金
浐灞链家/无责底薪3千+高提成,西安链家宝业房地产经纪有限公司第五十六分公司,6-8千/月,西安-浐灞生态区,无工作经验,大专,招15人,05-19发布,弹性工作|带薪年假|五险一金|节日福利|专业培训|高温补贴|交通补贴|一对一帮扶|定时团建|不定时旅游
贝壳找房 新房直销 高薪直聘 销售顾问 无责底薪,陕西贝壳闹海房地产经纪有限公司,6-8千/月,西安-灞桥区,无工作经验,大专,招5人,05-19发布,弹性工作|带薪年假|专业培训|节日福利|绩效奖金|五险一金
android应用软件工程师,西安富立叶微电子有限责任公司,1-1.5万/月,西安-高新技术产业开发区,5-7年经验,本科,招1人,05-17发布,五险一金|员工旅游|通讯补贴|专业培训|绩效奖金|年终奖金|弹性工作|定期体检
数据分析师（运营方向）,陕西大剧院 西安音乐厅,5.5-6.5千/月,西安-曲江文化新区,2年经验,本科,招1人,05-17发布,五险一金|交通补贴|餐饮补贴|通讯补贴|带薪年假|定期体检|节日福利|绩效奖金
房地产/销售代表/高提成+五险/无责底薪3000,西安链家总部,6-8千/月,西安,无工作经验,大专,招10人,05-17发布,
软件工程师（车联网方向）,广东国鸿氢能科技有限公司,10-20万/年,佛山-禅城区,无工作经验,本科,招1人,05-17发布,五险一金|免费班车|员工旅游|出国机会|年终奖金|定期体检|弹性工作|免费住宿|餐饮补贴
java（界面）开发工程师,西安交大捷普网络科技有限公司,1-1.5万/月,西安-高新技术产业开发区,2年经验,本科,招5人,05-17发布,
项目经理,西安泰晟信息科技有限公司,1-1.5万/月,西安-高新技术产业开发区,3-4年经验,本科,招2人,05-17发布,五险一金|绩效奖金|弹性工作|年终奖金
